City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
270,Hofn,IS,64.2539,-15.2082,32.32,89,100,25.41,overcast clouds
271,Deputatskiy,RU,69.3,139.9,-34.67,84,99,2.84,overcast clouds
272,Kyra,RU,49.5776,111.9753,16.86,90,82,2.01,broken clouds
273,Faya,SA,18.3851,42.4509,46.4,57,2,1.23,clear sky
274,Sitka,US,57.0531,-135.33,35.6,100,90,3.44,light rain
275,Vagur,FO,61.4732,-6.8119,36.63,92,100,2.75,light rain
276,Fare,PF,-16.7,-151.0167,80.82,74,2,13.0,light rain
277,Milkovo,RU,54.7167,158.6167,1.38,89,3,0.58,clear sky
278,Ampanihy,MG,-24.7,44.75,78.85,78,100,3.33,overcast clouds
279,Sioux Lookout,CA,50.1001,-91.917,15.8,92,90,10.36,light snow
280,Tshikapa,CD,-6.4167,20.8,70.52,93,100,3.42,overcast clouds
281,Garissa,KE,-0.4536,39.6401,75.63,78,97,5.57,overcast clouds
282,Komsomolskiy,UZ,40.4272,71.7189,21.2,73,98,4.61,overcast clouds
283,Poros,GR,37.4994,23.4536,48.99,87,20,13.09,few clouds
284,Litovko,RU,49.2361,135.1742,11.46,88,100,6.31,overcast clouds
285,Barra Patuca,HN,15.8,-84.2833,76.66,87,20,9.4,few clouds
286,Kolno,PL,53.4115,21.9291,33.8,93,90,3.44,overcast clouds
287,Xai-Xai,MZ,-25.0519,33.6442,78.51,84,100,8.68,overcast clouds
288,Vanimo,PG,-2.6741,141.3028,84.67,69,100,5.7,light rain
289,Yulara,AU,-25.2406,130.9889,91.4,49,75,23.02,broken clouds
290,Keetmanshoop,NA,-26.5833,18.1333,72.57,41,96,13.27,overcast clouds
291,Itaituba,BR,-4.2761,-55.9836,78.8,94,40,1.28,light rain
292,Bagado,CO,5.4116,-76.4152,72.81,91,97,0.94,overcast clouds
293,Dawei,MM,14.0833,98.2,85.5,41,0,3.87,clear sky
294,Xining,CN,36.6167,101.7667,28.85,66,100,3.22,overcast clouds
295,Donnacona,CA,46.6804,-71.7239,8.01,78,37,10.36,scattered clouds
296,Neuruppin,DE,52.9282,12.8031,32.0,92,100,4.43,overcast clouds
297,Janauba,BR,-15.8025,-43.3089,68.5,80,12,9.04,few clouds
