City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
96,Butaritari,KI,80.17,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
97,Avarua,CK,86.0,few clouds,-21.2078,-159.775,Paradise Inn
100,Ambon,ID,77.0,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
102,Saint-Pierre,RE,82.4,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
116,Gizo,SB,85.39,overcast clouds,-8.103,156.8419,Imagination Island
119,Tual,ID,84.6,broken clouds,-5.6667,132.75,Grand Vilia Hotel
121,Japura,ID,80.26,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
122,Saint-Joseph,RE,82.4,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
123,Thiruvananthapuram,IN,84.2,haze,8.4833,76.9167,Hotel Residency Tower
128,Bengkulu,ID,88.93,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
151,Presidencia Roque Saenz Pena,AR,75.99,broken clouds,-26.7852,-60.4388,Hotel Gualok
156,Vao,NC,75.69,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
163,Carnarvon,AU,82.4,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
175,Buala,SB,85.6,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
188,Nicoya,CR,80.6,clear sky,10.1483,-85.45200000000001,Guayacan Real
189,Pyay,MM,79.92,clear sky,18.8167,95.2167,Shwe Pyi Thar
195,Cockburn Town,TC,77.47,clear sky,21.4612,-71.1419,Osprey Beach Hotel
200,San Luis,AR,78.15,clear sky,-33.295,-66.3356,Huarpes Hotel
206,Saint-Philippe,RE,82.4,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
210,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
214,Weligama,LK,80.26,scattered clouds,5.9667,80.4167,Weligama Bay Resort
219,Katherine,AU,87.8,broken clouds,-14.4667,132.2667,Pine Tree Motel
238,Mahina,PF,82.4,light rain,-17.5065,-149.489,Guest Beach Bungalow Tahiti
242,Flinders,AU,87.01,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
244,Kieta,PG,85.37,few clouds,-6.2167,155.6333,
248,Kawalu,ID,85.35,moderate rain,-7.3817,108.2082,KOSAN UNGU UNSIK
251,Betong,TH,88.97,scattered clouds,5.7743,101.0723,New Cathay Hotel
252,Kudahuvadhoo,MV,83.37,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
255,Tsabong,BW,76.68,broken clouds,-26.0217,22.401,Springbok Motel
258,Cidreira,BR,75.65,clear sky,-30.1811,-50.2056,Hotel Castelo
265,Ntoum,GA,77.0,few clouds,0.3833,9.7833,Hôtel Santa Barbara
268,Cap Malheureux,MU,84.0,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
276,Fare,PF,80.82,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
278,Ampanihy,MG,78.85,overcast clouds,-24.7,44.75,Angora Hotel
281,Garissa,KE,75.63,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
285,Barra Patuca,HN,76.66,few clouds,15.8,-84.2833,
287,Xai-Xai,MZ,78.51,overcast clouds,-25.0519,33.6442,Complexo da Familia
288,Vanimo,PG,84.67,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
291,Itaituba,BR,78.8,light rain,-4.2761,-55.9836,Hotel Campos
293,Dawei,MM,85.5,clear sky,14.0833,98.2,Hotel Dawei
