City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
199,Roald,NO,2021-01-20 17:54:25,62.5833,6.1333,39.2,52,0,13.8
200,Southbridge,US,2021-01-20 17:54:27,42.0751,-72.0334,35.01,48,97,1.01
201,Coihaique,CL,2021-01-20 17:54:27,-45.5752,-72.0662,68.0,49,75,20.71
202,Touros,BR,2021-01-20 17:54:27,-5.1989,-35.4608,86.0,70,40,18.41
203,Broken Hill,AU,2021-01-20 17:54:01,-31.95,141.4333,69.8,17,0,5.75
204,Kolosovka,RU,2021-01-20 17:54:28,56.4678,73.611,-3.3,91,100,14.56
205,Dongli,CN,2021-01-20 17:54:28,23.5656,116.8194,62.6,82,75,2.89
206,Husavik,IS,2021-01-20 17:54:31,66.0449,-17.3389,28.4,86,75,12.66
207,Rognan,NO,2021-01-20 17:54:31,67.0953,15.3878,26.6,54,40,25.32
208,Jaguarao,BR,2021-01-20 17:54:31,-32.5661,-53.3758,81.3,47,0,14.05
209,Inta,RU,2021-01-20 17:52:43,66.0317,60.1659,-1.37,87,100,16.02
210,Kedrovyy,RU,2021-01-20 17:54:32,56.1667,91.8167,-25.6,75,0,2.46
211,Port Lincoln,AU,2021-01-20 17:54:32,-34.7333,135.8667,66.43,65,0,8.21
212,Troitsko-Pechorsk,RU,2021-01-20 17:54:32,62.7084,56.1964,5.2,95,100,4.36
213,Eyl,SO,2021-01-20 17:54:32,7.9803,49.8164,76.75,76,93,20.56
214,Lagunas,PE,2021-01-20 17:54:34,-5.2269,-75.6753,73.58,97,100,3.67
215,Saint-Augustin,CA,2021-01-20 17:54:34,51.226,-58.6502,10.31,90,95,16.49
216,Vanimo,PG,2021-01-20 17:54:34,-2.6741,141.3028,76.62,84,100,2.82
217,Bilibino,RU,2021-01-20 17:54:34,68.0546,166.4372,-30.89,78,84,1.03
218,Poya,NC,2021-01-20 17:54:34,-21.35,165.15,73.98,86,93,8.81
219,Samarai,PG,2021-01-20 17:54:35,-10.6167,150.6667,82.99,78,93,11.07
220,Bambous Virieux,MU,2021-01-20 17:54:35,-20.3428,57.7575,81.0,94,40,1.14
221,Cayenne,GF,2021-01-20 17:54:35,4.9333,-52.3333,84.2,70,75,9.22
222,Svetlogorsk,BY,2021-01-20 17:54:35,52.6333,29.7333,12.74,94,99,12.28
223,Saint-Pierre,RE,2021-01-20 17:54:35,-21.3393,55.4781,82.4,74,90,3.44
224,Olavarria,AR,2021-01-20 17:54:35,-36.8927,-60.3225,89.01,34,0,7.0
225,Qingquan,CN,2021-01-20 17:54:37,30.4511,115.2559,52.43,65,100,2.39
226,Kronach,DE,2021-01-20 17:54:37,50.2396,11.3331,37.99,84,95,4.32
227,San Patricio,US,2021-01-20 17:54:37,28.017,-97.5169,66.2,88,90,6.91
228,Salalah,OM,2021-01-20 17:54:40,17.0151,54.0924,75.2,38,0,4.61
229,Salme,NP,2021-01-20 17:54:41,28.0369,85.0942,46.4,81,20,3.44
230,Gat,IL,2021-01-20 17:54:01,31.61,34.7642,53.01,100,17,11.81
231,Ancud,CL,2021-01-20 17:54:41,-41.8697,-73.8203,66.72,71,27,9.89
232,Sayyan,YE,2021-01-20 17:54:42,15.1718,44.3244,50.13,45,0,0.27
233,Adrar,MR,2021-01-20 17:54:42,20.5022,-10.0711,74.28,17,100,10.8
234,Challakere,IN,2021-01-20 17:54:42,14.3167,76.65,73.33,30,1,5.75
235,Angoram,PG,2021-01-20 17:54:58,-4.0625,144.0661,72.82,97,100,1.36
236,Acarau,BR,2021-01-20 17:55:01,-2.8856,-40.12,84.72,63,94,16.64
237,Neuquen,AR,2021-01-20 17:55:01,-38.9516,-68.0591,91.4,29,0,5.75
238,Marawi,PH,2021-01-20 17:55:02,7.9986,124.2928,75.0,95,98,1.99
